,"@FIXME: "
"12h AM/PM","12g Sáng/Chiều"
"12h AM/PM","12g Sáng/Chiều"
"12 Hours","12 Giờ"
"12 Hours","12 Giờ"
"1 Hour","1 Giờ"
"1 Hour","1 Giờ"
"1. set up","1. thiết lập"
24h,24g
24h,24g
"24 Hours","24 Giờ"
"24 Hours","24 Giờ"
"2. customize","2. tùy biến"
"2 Hours","2 Giờ"
"2 Hours","2 Giờ"
2YTD,"Trong 2 năm qua"
2YTD,"Trong 2 năm qua"
"6 Hours","6 Giờ"
"6 Hours","6 Giờ"
"Abandoned Carts","Các giỏ hàng bị bỏ rơi"
"Abandoned Carts","Các giỏ hàng bị bỏ rơi"
"About the calendar","Giới thiệu về lịch"
"About the calendar","Giới thiệu về lịch"
"(Absolute path or Relative to Magento install root, ex. var/export)","@FIXME: (Đường dẫn tuyệt đối hay tương đối để Magento cài đặt gốc, ex. Var / xuất khẩu)"
"Access denied.","Truy cập bị từ chối."
"Access denied","Truy cập bị từ chối"
"Access Denied.","@FIXME: Access Denied."
"Access Denied","Truy cập bị từ chối"
"Access denied.","Truy cập bị từ chối."
"Access denied","Truy cập bị từ chối"
"Access Denied","Truy cập bị từ chối"
"Access Deny","@FIXME: Từ chối truy cập"
"Account Created in:","Tài khoản được tạo vào:"
"Account Created in:","Tài khoản được tạo vào:"
"Account Created on:","Tài khoản được tạo lúc:"
"Account Created on (%s):","Tài khoản được tạo lúc (%s):"
"Account Created on (%s):","Tài khoản được tạo lúc (%s):"
"Account Created on:","Tài khoản được tạo lúc:"
"Account Information","Thông tin tài khoản"
"Account Information","Thông tin tài khoản"
"Account status","Trạng thái tài khoản"
"Account Status","Trạng thái tài khoản"
"Account status","Trạng thái tài khoản"
"Account Status","Trạng thái tài khoản"
"Account successfully saved","@FIXME: Tài khoản lưu thành công"
Action,"Hành động"
Action,"Hành động"
Actions,"Các hành động"
Actions,"Các hành động"
"Actions XML","Các hành động XML"
"Actions XML","Các hành động XML"
Active,"Hoạt động"
Active,"Hoạt động"
Add,Thêm
"Add after","Thêm vào sau"
"Add after","Thêm vào sau"
"Add Contents Path","@FIXME: Thêm Nội dung Đường dẫn"
"Add Exception","Thêm loại trừ"
"Add Exception","Thêm loại trừ"
"Add Field Mapping","Thêm bản đồ hóa các trường"
"Add Field Mapping","Thêm bản đồ hóa các trường"
"Add Field with URL:","Thêm trường với URL:"
"Add Field with URL:","Thêm trường với URL:"
"Additional Cache Management","Quản lý bộ nhớ đệm mở rộng"
"Additional Cache Management","Quản lý bộ nhớ đệm mở rộng"
"Add Maintainer","@FIXME: Thêm Maintainer"
"Add New","Thêm mới"
"Add New Image","Thêm hình ảnh mới"
"Add New Image","Thêm hình ảnh mới"
"Add New osCommerce Profile","@FIXME: Thêm New osCommerce Hồ Sơ"
"Add New Profile","Thêm hồ sơ mới"
"Add New Profile","Thêm hồ sơ mới"
"Add new Role","@FIXME: Thêm vai trò mới"
"Add New Role","Thêm vai trò mới"
"Add New Role","Thêm vai trò mới"
"Add new store view map","@FIXME: Thêm mới bản đồ cửa hàng xem"
"Add New Template","Thêm mẫu mới"
"Add New Template","Thêm mẫu mới"
"Add New","Thêm mới"
"Add New Urlrewrite","@FIXME: Thêm New Urlrewrite"
"Add New URL Rewrite","Thêm sao chép URL mới"
"Add New URL Rewrite","Thêm sao chép URL mới"
"Add New User","Thêm thành viên mới"
"Add New User","Thêm thành viên mới"
"Add New Variable","Thêm biến mới"
"Add New Variable","Thêm biến mới"
"Add new website map","@FIXME: Thêm mới bản đồ trang web"
"Add Package dependency","@FIXME: Thêm gói phụ thuộc"
"Add PHP Extension dependency","@FIXME: Thêm PHP Extension phụ thuộc"
"Add Products","Thêm các sản phẩm"
"Add Products","Thêm các sản phẩm"
"Address Type:","Loại địa chỉ:"
"Address Type:","Loại địa chỉ:"
"Add Subpackage dependency","@FIXME: Thêm Subpackage phụ thuộc"
Add,Thêm
"Add Urlrewrite","@FIXME: Thêm Urlrewrite"
"Add URL Rewrite","Thêm sao chép URL"
"Add Urlrewrite for a Category","@FIXME: Thêm Urlrewrite cho một loại"
