,"@FIXME: "
"Add Minimum Qty","Thêm số lượng tối thiểu"
"Add Minimum Qty","Thêm số lượng tối thiểu"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 và thông báo khách hàng"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 và thông báo khách hàng"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Automatically Return Credit Memo Item to Stock","Tự động trả lại mặt hàng bản ghi tín dụng vào kho hàng"
"Automatically Return Credit Memo Item to Stock","Tự động trả lại mặt hàng bản ghi tín dụng vào kho hàng"
Backorders,"Các đơn hàng tồn đọng"
Backorders,"Các đơn hàng tồn đọng"
"By Fixed value","Bởi giá trị cố định"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi tỷ lệ phần trăm"
"By Percentage","Bởi tỷ lệ phần trăm"
"Can not specify product identifier for order item","@FIXME: Không thể xác định nhận dạng sản phẩm cho mục để"
"Cannot specify product identifier for the order item.","Không thể xác định định danh sản phẩm cho mặt hàng được đặt."
"Cannot specify product identifier for the order item.","Không thể xác định định danh sản phẩm cho mặt hàng được đặt."
"Catalog Inventory","Danh mục sản phẩm tồn kho"
"Catalog Inventory","Danh mục sản phẩm tồn kho"
"Decrease Stock When Order is Placed","Giảm kho khi đơn hàng được đặt"
"Decrease Stock When Order is Placed","Giảm kho khi đơn hàng được đặt"
"Display Out of Stock Products","Hiển thị các sản phẩm hết hàng"
"Display Out of Stock Products","Hiển thị các sản phẩm hết hàng"
"Display products availability in stock in the frontend","@FIXME: Hiển thị các sản phẩm sẵn có trong kho ở lối vào"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"Index Product Stock Status","Chỉ mục trạng thái kho hàng"
"Index Product Stock Status","Chỉ mục trạng thái kho hàng"
"In Stock","Còn hàng"
"In Stock","Còn hàng"
"Inventory API","API sản phẩm tồn kho"
"Inventory API","API sản phẩm tồn kho"
Inventory,"Sản phẩm tồn kho"
Inventory,"Sản phẩm tồn kho"
"Inventory Section","Khu vực sản phẩm tồn kho"
"Inventory Section","Khu vực sản phẩm tồn kho"
"Manage Stock","Quản lý kho hàng"
"Manage Stock","Quản lý kho hàng"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
