"%1$s has been updated in your wishlist.","@FIXME: % 1 $ s đã được cập nhật trong danh sách mong muốn của bạn."
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","@FIXME: % 1 $ s đã được thêm thành công vào ưa thích của bạn.  Nhấn vào u003ca href=""%2$s""u003e đây u003c/au003e để tiếp tục mua hàng"
"Add All to Cart","@FIXME: Thêm tất cả vào giỏ hàng"
"Added From","@FIXME: thêm Từ"
"Added On","@FIXME: Added On"
"Add to Cart","@FIXME: Thêm vào giỏ hàng"
"Add to Compare","@FIXME: Thêm vào so sánh"
"Add to Wishlist","@FIXME: Thêm vào Wishlist"
"An error occurred while adding item to wishlist.","@FIXME: Đã xảy ra lỗi khi thêm mục ưa thích."
"An error occurred while adding item to wishlist: %s","@FIXME: Đã xảy ra lỗi khi thêm mục vào ưa thích:% s"
"An error occurred while deleting the item from wishlist.","@FIXME: Đã xảy ra lỗi khi xóa các mục từ danh sách mong ước."
"An error occurred while deleting the item from wishlist: %s","@FIXME: Đã xảy ra lỗi khi xóa các mục từ danh sách mong muốn:% s"
"An error occurred while updating wishlist.","@FIXME: Đã xảy ra lỗi trong khi cập nhật danh sách mong ước."
"Are You sure?","@FIXME: Bạn có chắc chắn?"
"Are you sure you want to remove this product from your wishlist?","@FIXME: Bạn có chắc chắn muốn loại bỏ sản phẩm này từ danh sách mong ước của bạn?"
"Are you sure you would like to remove this item from the wishlist?","@FIXME: Bạn có chắc chắn muốn loại bỏ mặt hàng này từ danh sách mong ước?"
Back,"@FIXME: trở lại"
"Cannot add item to shopping cart","@FIXME: Không thể thêm mục vào giỏ mua hàng"
"Cannot add the following product(s) to shopping cart: %s.","@FIXME: Không thể thêm các sản phẩm sau (s) vào giỏ hàng:% s."
"Cannot add the item to shopping cart.","@FIXME: Không thể thêm các mục vào giỏ mua hàng."
"Cannot configure product","@FIXME: Không thể cấu hình sản phẩm"
"Cannot create wishlist","@FIXME: Không thể tạo danh sách mong ước"
"Cannot load wishlist item","@FIXME: Không thể tải mục muốn được tặng quà"
"Cannot move item to wishlist","@FIXME: Không thể di chuyển mục ưa thích"
"Cannot specify product.","@FIXME: Không thể xác định sản phẩm."
"Cannot specify product","@FIXME: Không thể xác định sản phẩm"
"Cannot specify wishlist.","@FIXME: Không thể chỉ định muốn được tặng quà."
"Cannot specify wishlist item.","@FIXME: Không có thể xác định mục muốn được tặng quà."
"Cannot update wishlist","@FIXME: Không thể cập nhật danh sách mong ước"
"Can\'t delete item from wishlist",@TODO
"Can't save description %s",@TODO
"Can\'t save description %s",@TODO
"Can\'t update wishlist",@TODO
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","@FIXME: Kiểm tra hộp kiểm này nếu bạn muốn thêm một liên kết đến một nguồn cấp dữ liệu rss ưa thích của bạn."
"Click for price","@FIXME: Nhấn vào đây để giá"
Comment,"@FIXME: chú thích"
Comment:,"@FIXME: Nhận xét:"
"Configured Price:","@FIXME: Cấu hình Giá:"
"Configure Wishlist Item","@FIXME: Danh sách yêu cầu cấu hình mục"
"Could not find such wishlist","@FIXME: Không thể tìm thấy danh sách mong muốn như vậy"
"Could not find wishlist","@FIXME: Không thể tìm thấy danh sách mong ước"
"Customer My Account My Wishlist","@FIXME: Khách hàng Tài khoản của tôi Sản phẩm yêu thích"
"Customer My Account Wishlist Sharing Form","@FIXME: Khách hàng Tài khoản của tôi Sản phẩm yêu thích Chia sẻ Form"
"Customer Shared Wishlist View","@FIXME: Danh sách yêu cầu của khách hàng chia sẻ Xem"
"Date Added","@FIXME: ngày thêm"
"Days in Wishlist","@FIXME: Sản phẩm yêu thích trong ngày"
"Display Wishlist Summary","@FIXME: Hiển thị Tóm tắt Sản phẩm yêu thích"
"%d product(s) have been added to shopping cart: %s.","@FIXME: % d sản phẩm (s) đã được thêm vào giỏ hàng:% s."
Edit,"@FIXME: chỉnh sửa"
"Email address can't be empty.",@TODO
"Email address can\'t be empty.",@TODO
"Email addresses, separated by commas","@FIXME: Địa chỉ email, cách nhau bằng dấu phẩy"
"Email Sender","@FIXME: email người gửi"
"Email Template","@FIXME: email Template"
Enabled,"@FIXME: Bật"
"General Options","@FIXME: General Options"
"Go to Wishlist","@FIXME: Đi vào Wishlist"
